,countyFIPS,CountyName,State,Deaths,Population,DeathsPerThousand,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2010,foreign_share2010,med_hhinc2016,poor_share2010,share_white2010,share_black2010,share_hisp2010,share_asian2010,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,traveltime15_2010,emp2000,mail_return_rate2010,ann_avg_job_growth_2004_2013,job_density_2013,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate
2223,41027,Hood River County,OR,0,87,0,69885.664,20.109034,0.25579667,0.1729039,57386.0098451624,0.094910257,0.65846235,0.0059965989,0.2948626,0.01307648,3.3532584,1031.5698,0.22026387,0.52557844,0.6210779000000001,81.81360600000002,0.013787692,24.636459,23.78539,6441.1,1.979537,0.2119981,0.1375352,0.12594149999999998,0.7920764,70.908234,95.070423,69.014085,88.02816899999998,63.559322,28.81,0.0129495,0.0137885,0.0025885,0.0254699,0.3597614,0.14234960000000002,0.06786,0.58213,0.42496177,47.83695,0.323355,25.02082,0.07654889999999999,0.2889801,0.3502847,0.6647109,0.0920735,16.43721,0.0213120376,0.028563029700000006,0.5465496999999999,33576.98,203149.2,7.065492599999999,18.206384,-3.368917,-0.0178686,23.1,48.16156,0.1556586,0.0041644,2701.059,0.0319091
2224,41029,Jackson County,OR,0,87,0,70424.961,20.020144,0.24099125,0.05727794,47354.8871047115,0.1410875,0.83670264,0.011028218,0.10700963,0.010255354,2.6010883,859.8416699999998,0.33955231,0.42499849,0.57002723,78.945526,-0.005287644,31.109194,22.26106,7306.48,0.1017592,0.16209,0.1139369,0.1056366,0.6630625,83.337086,88.999098,67.98917900000001,83.31830500000002,65.75276600000001,44.01,0.049554400000000005,0.0467501,0.0570225,0.0448411,0.4325851,0.1253617,0.11149,0.56938,0.03409986,22.18361,0.3718231,6.689506,0.0657311,0.3685224,0.4869534,0.6127255,0.1090889,4.881695,0.0353562937,0.0274122988,0.4216919,37058.65,186620.0,5.7220532,21.036783,-1.6794790000000002,0.0352079,22.3,44.85435,0.2245765,0.0124235,1851.013,0.0257615
2225,41031,Jefferson County,OR,0,78,0,62562.387,21.114058,0.15833251,0.084779151,47501.183747698,0.19772074,0.61827809,0.007826887099999999,0.19313997,0.0035911601,2.1130421000000004,659.83087,0.32807899,0.50261039,0.58319849,75.248253,-0.0015761545,4.634472799999998,27.658,6717.63,2.993584,0.1767789,0.2156245,0.116949,0.0093696,79.279659,87.804878,60.162602,74.796748,65.591398,42.59,0.010046799999999998,0.0152912,0.0053746,0.3071348,0.3611516,0.1464832,0.06284,0.5707300000000001,-0.49706893,31.02215,0.22620860000000004,17.738970000000005,0.0677113,0.6388482,0.7517187,0.638505,0.2016198,9.905834,0.0356147088,0.0350360356,0.5071259,30485.96,140631.5,7.293715400000001,17.875372,-16.65735,,13.7,36.66864,0.1946533,0.0088379,2661.451,0.0277342
2226,41033,Josephine County,OR,1,26,38,58920.215,21.478697,0.16250001,0.035848923,39177.58804541,0.17952238,0.88606387,0.0069275689,0.063484579,0.0071337214,2.9497747000000003,739.5989400000002,0.35107902,0.4591147,0.46956488,77.926765,-0.009186157,17.4645,20.42335,6611.68,1.397446,0.1945811,0.13255799999999998,0.1187233,0.6742148,84.822901,87.531172,65.336658,83.12552,69.432773,42.52,0.0239847,0.0212384,0.026816000000000003,0.0078476,0.4575079000000001,0.1500141,0.09521,0.52787,-0.02204752,20.10538,0.25354570000000004,4.264058,0.0837975,0.28665359999999995,0.3813697,0.5205557,0.1211081,3.098011,0.0389166204,0.0271241053,0.4498419,34350.34,171557.1,5.946825,20.865665,4.146477,0.0144018,14.1,44.44591,0.2366495,0.007500700000000002,1623.154,0.0190556
2227,41035,Klamath County,OR,0,84,0,60420.488,18.636311,0.1817628,0.051390182,43937.531289545,0.16711628,0.81081653,0.010967159,0.10417295,0.008276238100000001,2.6002307,704.41992,0.3405492,0.49714175,0.53271091,78.76841,-0.0051196329,4.332736,22.20119,7097.18,1.15944,0.1617924,0.12627349999999998,0.1394596,-0.2388059,77.021907,78.89800699999998,66.119578,71.864009,65.490798,36.35,0.0427101,0.0356091,0.0510125,0.0551754,0.4053983,0.1677221,0.08717000000000001,0.55538,0.02276061,31.27872,0.5676205,7.778911,0.0861255,0.0787929,0.1527636,0.5972058000000001,0.1311839,4.837319,0.0325833007,0.0269070953,0.5230994000000001,31646.6,121436.3,5.8166057,20.014149,-4.958407,-0.0051218,15.9,45.15332,0.2207537,0.0077773,2327.996,0.0259263
2228,41037,Lake County,OR,0,6,0,55141.566,15.608157,0.16267478,0.021784505,34117.6258391387,0.17736779,0.87080431,0.0055731474,0.069031037,0.0046002725,3.55304,566.23358,0.32516029,0.69803441,0.52799028,82.183723,-0.0046966881,0.37756553,23.63049,6734.71,-0.3069073,0.13171029999999995,0.10435139999999997,0.120476,-0.3881125,77.850572,88.372093,58.139535,74.418605,66.346154,82.4,0.0056394,0.0069048,0.009654799999999998,0.0103225,0.3690427,0.16122,0.09273,0.58309,0.92843213,30.8138,0.1077877,5.443276999999998,0.0932326,-0.014604399999999997,-0.042873400000000006,0.5783153,0.0944499,3.368364,0.006467259499999999,0.0179196982,0.6916519,31635.1,87578.1,6.8492723,17.524504999999998,7.332983,-0.0362453,15.5,48.97643,0.1769317,0.0078146,2561.23,0.0249185
2229,41039,Lane County,OR,3,95,31,69830.891,21.143282,0.28774151,0.056458216,47667.3696202892,0.17149907,0.84673101,0.01580541,0.074398302,0.020995809,3.2357821,844.57855,0.33284757,0.38492915,0.60257876,79.78624,-0.0039244476,33.849968,21.39352,7095.27,1.04957,0.17112860000000002,0.13635550000000002,0.1173154,0.3850734,70.315191,85.837438,72.49589499999998,81.69129699999998,68.15562,39.03,0.0654404,0.0674568,0.0669663,0.0310341,0.4263316,0.1437364,0.11784,0.5668300000000001,0.49022441,24.51983,0.7403417,4.605538,0.0682203,0.173432,0.2695329,0.6430842,0.142609,4.942113,0.0321464954,0.0285175518,0.3975816,35089.17,187953.0,6.4614645999999984,21.47428,2.529714,0.0021985,25.5,42.97108,0.228629,0.0144074,3131.539,0.0286404
2230,41041,Lincoln County,OR,0,284,0,62290.086,21.510172,0.23721981,0.060323514,41952.620823739,0.1623424,0.84422386,0.0063431375,0.079397835,0.0095817829,2.2531836,819.4968299999998,0.31214768,0.45783576,0.53484988,84.12487,-0.008393323000000001,19.18013,23.23156,6505.63,2.959133,0.2462006,0.14184829999999998,0.1385566,-0.2176381,63.609609,87.393939,63.515152,81.090909,63.425254,46.25,0.0137048,0.0131457,0.0132151,0.043993300000000006,0.4274286,0.1386509,0.06914,0.5320600000000001,-0.55843246,22.52299,0.2540525,4.764046,0.0718659,0.2613147,0.320243,0.5829208,0.06063440000000001,4.181748000000002,0.0410755637,0.0325097237,0.4676813,35865.0,198350.4,6.5145819000000005,20.004008,-8.262897,0.0463241,20.8,40.90165,0.2682927,0.0104094,4439.07,0.0388298
2231,41043,Linn County,OR,9,128,70,66724.641,23.426323,0.16151795,0.042178616,48050.7101789633,0.15615195,0.87063736,0.007799643599999999,0.078227855,0.0081606405,2.6930804,783.1632099999998,0.32158706,0.38792652,0.58115751,80.83871500000002,0.0032033192,21.114532,19.28852,7396.06,1.571823,0.1865287,0.13744779999999998,0.1274111,-0.1762721,58.353115,86.811927,70.06880699999999,78.55504599999998,68.855535,53.39,0.0229503,0.019875200000000003,0.0284607,0.0165012,0.3404228,0.1140641,0.08272,0.61217,0.01494043,31.40615,0.2765138,4.37959,0.076901,0.15167329999999998,0.2568669,0.6296022,0.2161032,3.484074,0.0431361515,0.0363445847,0.3960853,33496.33,165425.3,5.4444861,20.810158,1.126072,0.0225265,13.4,44.93395,0.1968224,0.0088377,2258.279,0.0289476
2232,41045,Malheur County,OR,1,49,20,57498.508,19.040987,0.1387523,0.097254343,37145.436112796604,0.24171026,0.63571042,0.012518763,0.31510875,0.015169418,2.411365,596.68542,0.32253024,0.5151124,0.48109394,81.91658000000002,-0.0041657034,1.1412352,26.6242,7962.19,0.9811716,0.1920176,0.1368309,0.0980989,-0.7280278,82.50263299999997,73.513514,61.89189200000001,77.027027,49.800797,43.49,0.0222062,0.006867100000000001,0.0380725,0.0990696,0.4296867999999999,0.1864707,0.09432,0.54689,-0.94134372,46.13633,1.167167,25.61759,0.0833461,0.17545360000000002,0.1318672,0.5327075,0.1138737,8.220781,0.0187252886,0.027518583,0.5372946,25241.83,115837.7,6.576450500000001,17.487184,-0.4558546,-0.0165598,11.1,46.87489,0.1969164,0.0115135,2536.869,0.0255395
